Ngày,Đơn hàng,Doanh thu,Giảm giá,Doanh thu thuần,Vận chuyển,Giảm giá vận chuyển,Tổng hoá đơn,Đã thu,Hoàn trả,Tổng giá vốn,Tổng lợi nhuận,% lợi nhuận
01/01/2023,461,"225,130,200","-49,635,787","175,494,413","5,021,288",0,"180,515,701","174,790,601","-1,135,787","1,705,000","173,789,413",99.03%
02/01/2023,325,"152,627,200","-35,748,084","116,879,116","5,212,259",0,"122,091,375","115,499,975","-364,000","2,160,000","114,719,116",98.15%
03/01/2023,365,"168,004,200","-38,320,099","129,684,101","5,305,618",0,"134,989,719","123,373,719",0,"1,929,000","127,755,101",98.51%
04/01/2023,552,"254,169,400","-70,142,313","184,027,087","6,171,736",0,"190,198,823","178,961,423","-1,700,800","3,834,475","180,192,612",97.92%
05/01/2023,"1,075","488,087,400","-133,150,196","354,937,204","10,072,932",0,"365,010,136","356,424,836","-1,017,192","3,409,811","351,527,393",99.04%
06/01/2023,538,"247,483,000","-67,057,472","180,425,528","6,380,917",0,"186,806,445","174,721,745","-847,000","2,585,000","177,840,528",98.57%
07/01/2023,441,"203,013,150","-46,411,694","156,601,456","6,513,039",0,"163,114,495","147,585,095","-1,696,365","2,770,000","153,831,456",98.23%
08/01/2023,409,"199,651,400","-50,230,946","149,420,454","6,638,262",0,"156,058,716","142,109,816","-445,200","2,345,000","147,075,454",98.43%
09/01/2023,487,"223,225,400","-52,141,636","171,083,764","7,009,399",0,"178,093,163","166,277,663","-2,595,541","43,896,333","127,187,431",74.34%
10/01/2023,441,"200,279,400","-45,270,597","155,008,803","6,827,284",0,"161,836,087","150,995,787","-820,200","62,151,064","92,857,739",59.90%
11/01/2023,817,"373,087,200","-92,045,212","281,041,988","9,550,609",0,"290,592,597","279,819,667","-558,046","118,463,283","162,578,705",57.85%
12/01/2023,557,"256,506,250","-62,597,891","193,908,359","7,723,287",0,"201,631,646","188,811,739","-1,203,675","84,235,463","109,672,896",56.56%
13/01/2023,695,"315,485,400","-78,112,056","237,373,344","5,858,582",0,"243,231,926","234,180,226","-291,500","108,276,000","129,097,344",54.39%
14/01/2023,356,"170,929,800","-42,326,236","128,603,564","4,947,074",0,"133,550,638","124,530,638","-1,478,500","59,845,000","68,758,564",53.47%
15/01/2023,385,"174,567,650","-44,678,022","129,889,628","3,993,100",0,"133,882,728","128,013,315","-256,500","62,263,000","67,626,628",52.06%
16/01/2023,290,"138,582,000","-33,926,356","104,655,644","3,445,600",0,"108,101,244","98,592,444",0,"49,297,000","55,358,644",52.90%
17/01/2023,138,"67,991,200","-14,232,926","53,758,274","1,376,500",0,"55,134,774","51,670,274","-326,600","23,887,000","29,871,274",55.57%
18/01/2023,111,"56,511,000","-14,436,751","42,074,249","866,100",0,"42,940,349","39,559,349",0,"21,348,000","20,726,249",49.26%
19/01/2023,71,"36,220,000","-7,568,046","28,651,954","574,300",0,"29,226,254","28,317,254",0,"13,443,000","15,208,954",53.08%
20/01/2023,59,"32,106,000","-8,716,490","23,389,510","700,000",0,"24,089,510","23,629,510",0,"10,072,000","13,317,510",56.94%
21/01/2023,40,"18,755,750","-3,968,522","14,787,228","555,200",0,"15,342,428","15,017,928",0,"6,593,000","8,194,228",55.41%
22/01/2023,82,"35,736,000","-7,912,350","27,823,650","1,014,300",0,"28,837,950","27,548,950",0,"12,595,000","15,228,650",54.73%
23/01/2023,98,"41,166,000","-7,720,881","33,445,119","1,362,000",0,"34,807,119","33,533,119",0,"14,141,475","19,303,644",57.72%
24/01/2023,105,"44,427,500","-8,479,386","35,948,114","1,773,800",0,"37,721,914","37,143,085",0,"14,954,000","20,994,114",58.40%
25/01/2023,129,"62,491,000","-12,264,558","50,226,442","1,663,600",0,"51,890,042","50,856,042",0,"22,707,000","27,519,442",54.79%
26/01/2023,142,"63,816,000","-12,723,273","51,092,727","2,082,100",0,"53,174,827","52,564,827",0,"23,982,000","27,110,727",53.06%
27/01/2023,270,"133,617,000","-31,280,772","102,336,228","4,422,800",0,"106,759,028","100,895,328","-312,000","49,232,000","53,104,228",51.89%
28/01/2023,189,"96,819,000","-19,404,060","77,414,940","3,127,067",0,"80,542,007","74,371,007","-230,000","35,009,000","42,405,940",54.78%
29/01/2023,171,"87,766,000","-16,774,115","70,991,885","3,500,656",0,"74,492,541","69,382,641",0,"32,979,000","38,012,885",53.55%
30/01/2023,274,"149,100,000","-48,885,076","100,214,924","3,404,515",0,"103,619,439","97,982,789",0,"55,628,000","44,586,924",44.49%
31/01/2023,236,"117,828,000","-30,758,384","87,069,616","3,516,467",0,"90,586,083","87,068,933","-290,000","42,482,000","44,587,616",51.21%
01/02/2023,187,"89,265,500","-20,788,631","68,476,869","2,459,817",0,"70,936,686","66,382,186",0,"32,211,000","36,265,869",52.96%
02/02/2023,583,"263,626,950","-69,450,291","194,176,659","5,418,998",0,"199,595,657","196,501,657","-1,065,150","99,228,000","94,948,659",48.90%
03/02/2023,162,"83,696,500","-24,721,511","58,974,989","2,006,300",0,"60,981,289","56,175,789","-243,063","30,369,950","28,605,039",48.50%
04/02/2023,118,"54,838,200","-10,564,761","44,273,439","1,385,500",0,"45,658,939","44,199,439","-775,500","21,180,000","23,093,439",52.16%
05/02/2023,63,"28,718,000","-5,200,054","23,517,946","975,800",0,"24,493,746","22,094,746",0,"10,562,000","12,955,946",55.09%
06/02/2023,122,"63,444,300","-16,243,076","47,201,224","1,382,000",0,"48,583,224","46,644,724","-369,000","23,336,000","23,865,224",50.56%
07/02/2023,134,"59,819,700","-12,217,926","47,601,774","1,793,100",0,"49,394,874","46,905,874","-600,500","21,140,000","26,461,774",55.59%
08/02/2023,141,"66,654,500","-14,654,454","52,000,046","1,576,646",0,"53,576,692","50,131,692","-280,000","21,900,950","30,099,096",57.88%
09/02/2023,313,"139,543,800","-24,973,694","114,570,106","1,616,400",0,"116,186,506","113,002,506","-585,000","49,475,000","65,095,106",56.82%
10/02/2023,172,"85,252,300","-15,295,841","69,956,459","1,902,000",0,"71,858,459","67,678,459",0,"30,260,000","39,696,459",56.74%
11/02/2023,218,"98,511,700","-17,829,066","80,682,634","2,089,412",0,"82,772,046","78,513,046",0,"34,106,950","46,575,684",57.73%
12/02/2023,144,"66,166,500","-9,204,185","56,962,315","2,067,563",0,"59,029,878","56,520,878","-554,750","22,880,000","34,082,315",59.83%
13/02/2023,238,"106,382,600","-18,380,936","88,001,664","2,075,433",0,"90,077,097","86,408,297","-715,320","30,848,000","57,153,664",64.95%
14/02/2023,182,"85,066,650","-17,815,162","67,251,488","1,695,200",0,"68,946,688","65,546,688",0,"29,442,000","37,809,488",56.22%
15/02/2023,420,"183,631,489","-43,489,513","140,141,976","3,280,509",0,"143,422,485","141,229,485","-314,611","63,835,000","76,306,976",54.45%
16/02/2023,200,"86,622,815","-22,080,439","64,542,376","1,751,740",0,"66,294,116","62,877,116","-579,575","30,068,000","34,474,376",53.41%
17/02/2023,351,"145,037,268","-34,071,757","110,965,511","1,829,367",0,"112,794,878","110,475,878","-681,703","49,602,000","61,363,511",55.30%
18/02/2023,271,"111,391,300","-26,534,282","84,857,018","1,217,100",0,"86,074,118","82,727,118","-229,000","38,398,000","46,459,018",54.75%
19/02/2023,148,"66,702,000","-11,598,489","55,103,511","1,640,200",0,"56,743,711","54,222,711",0,"21,914,000","33,189,511",60.23%
20/02/2023,214,"90,675,900","-19,623,884","71,052,016","1,217,201",0,"72,269,217","70,200,217","-280,000","30,338,000","40,714,016",57.30%
21/02/2023,196,"82,077,000","-18,789,119","63,287,881","1,479,066",0,"64,766,947","63,479,947",0,"27,448,000","35,839,881",56.63%
22/02/2023,257,"108,464,000","-31,917,227","76,546,773","1,541,600",0,"78,088,373","77,373,373","-581,625","37,926,000","38,620,773",50.45%
23/02/2023,110,"50,827,400","-11,043,886","39,783,514","978,845",0,"40,762,359","39,252,859",0,"18,047,000","21,736,514",54.64%
24/02/2023,131,"60,050,000","-13,289,445","46,760,555","1,155,000",0,"47,915,555","47,373,055",0,"21,366,000","25,394,555",54.31%
25/02/2023,380,"158,158,822","-41,075,863","117,082,959","1,969,984",0,"119,052,943","116,576,143","-794,880","56,740,000","60,342,959",51.54%
26/02/2023,349,"141,178,812","-34,229,039","106,949,773","1,796,659",0,"108,746,432","105,861,932","-1,194,777","50,742,000","56,207,773",52.56%
27/02/2023,184,"85,666,390","-23,096,817","62,569,573","1,238,118",0,"63,807,691","62,679,691",0,"31,274,000","31,295,573",50.02%
28/02/2023,202,"86,385,000","-19,862,417","66,522,583","1,563,750",0,"68,086,333","67,647,333","-586,705","31,309,000","35,213,583",52.93%
01/03/2023,232,"97,698,000","-24,197,447","73,500,553","2,155,289",0,"75,655,842","66,600,842","-491,436","34,686,000","38,814,553",52.81%
02/03/2023,214,"93,089,800","-24,826,084","68,263,716","2,204,500",0,"70,468,216","65,687,716","-315,000","34,374,000","33,889,716",49.65%
03/03/2023,606,"248,192,950","-62,373,581","185,819,369","4,197,808",0,"190,017,177","183,904,177","-1,923,658","90,121,000","95,698,369",51.50%
04/03/2023,220,"96,842,700","-19,844,412","76,998,288","2,213,182",0,"79,211,470","75,071,970","-467,000","35,663,000","41,335,288",53.68%
05/03/2023,154,"67,402,750","-11,078,886","56,323,864","2,263,750",0,"58,587,614","53,315,114","-517,810","24,984,950","31,338,914",55.64%
06/03/2023,270,"119,311,000","-27,136,849","92,174,151","3,273,100",0,"95,447,251","87,082,751","-297,800","44,003,000","48,171,151",52.26%
07/03/2023,206,"88,007,000","-15,039,902","72,967,098","2,507,106",0,"75,474,204","72,024,704",0,"32,654,000","40,313,098",55.25%
08/03/2023,277,"128,104,125","-31,851,976","96,252,149","3,035,167",0,"99,287,316","93,600,816","-592,900","46,798,000","49,454,149",51.38%
09/03/2023,171,"74,997,066","-13,201,919","61,795,147","2,077,100",0,"63,872,247","59,802,247","-338,150","27,065,000","34,730,147",56.20%
10/03/2023,167,"73,086,250","-14,129,572","58,956,678","2,002,300",0,"60,958,978","54,226,478","-379,000","27,447,000","31,509,678",53.45%
11/03/2023,214,"91,728,000","-18,396,726","73,331,274","1,918,900",0,"75,250,174","70,785,674","-541,000","33,758,000","39,573,274",53.97%
12/03/2023,171,"73,309,500","-17,467,634","55,841,866","2,152,777",0,"57,994,643","53,055,143",0,"26,928,000","28,913,866",51.78%
13/03/2023,256,"107,378,500","-26,162,934","81,215,566","1,638,409",0,"82,853,975","79,858,975","-299,000","38,611,000","42,604,566",52.46%
14/03/2023,200,"91,845,000","-26,687,285","65,157,715","2,352,000",0,"67,509,715","61,829,215","-908,470","31,881,000","33,276,715",51.07%
15/03/2023,536,"220,836,500","-58,753,706","162,082,794","2,770,274",0,"164,853,068","158,179,268","-280,000","77,528,999","84,553,795",52.17%
16/03/2023,298,"136,105,200","-36,456,107","99,649,093","2,478,553",0,"102,127,646","89,484,446","-521,814","46,227,000","53,422,093",53.61%
